,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,moisture,specialty
1007,Other,Other,7.33,7.08,7.42,7.17,7.33,0.12,No
795,Other,Caturra,7.5,7.25,7.33,7.42,7.5,0.1,No
1157,Guatemala,Bourbon,7.42,7.25,7.58,7.42,7.33,0.1,No
873,Other,Catuai,7.58,7.33,7.33,7.42,7.25,0.11,No
1256,Other,Typica,6.83,6.83,6.75,6.92,6.92,0.1,No
1139,Other,Other,7.0,7.0,7.17,7.25,7.25,0.11,No
356,Colombia,Caturra,7.58,7.58,7.58,7.75,7.67,0.12,Yes
162,Colombia,Other,8.08,7.83,7.83,7.67,7.67,0.12,Yes
663,Guatemala,Bourbon,7.83,7.33,7.67,7.42,7.5,0.12,Yes
458,Other,Catuai,7.5,7.5,7.67,7.67,7.67,0.1,Yes
785,Other,Caturra,7.58,7.33,7.33,7.5,7.67,0.11,No
1145,Taiwan,Typica,7.75,7.17,7.33,7.67,7.83,0.0,No
324,Colombia,Caturra,7.83,7.67,7.58,7.58,7.67,0.0,Yes
647,Colombia,Caturra,7.75,7.75,7.25,7.33,7.58,0.11,Yes
638,Other,Typica,7.83,7.42,7.33,7.42,7.5,0.13,Yes
550,Colombia,Caturra,7.75,7.25,7.5,7.75,7.5,0.0,Yes
230,Other,Other,7.83,7.5,7.83,7.83,7.75,0.11,Yes
351,Colombia,Caturra,7.75,7.58,7.75,7.75,7.5,0.0,Yes
1040,Other,Other,7.25,7.17,7.25,7.33,7.25,0.12,No
1041,Other,Caturra,7.5,7.0,7.42,7.25,7.17,0.11,No
317,Other,Caturra,7.67,7.67,7.67,7.83,7.58,0.1,Yes
1097,Other,Other,8.0,7.0,7.33,7.08,6.92,0.11,No
273,Mexico,Typica,7.75,7.83,7.92,7.75,7.67,0.0,Yes
1152,Mexico,Bourbon,7.25,7.0,7.17,7.17,7.08,0.12,No
